,Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
204,ČISTILEC M/Ž - M/Ž,23. 02. 2021,AJDOVŠČINA,OSNOVNA ŠOLA COL,https://www.iskanjedela.si/search-jobs?jobId=2655971&RECENCY=TODAY&STATE=Gori%C5%A1ka,ČIŠČENJE PROSTOROV ŠOLE. ,18.02.2021,Goriška,iskanjedela.si
205,Komercialist za Italijo,/,Ljubljana,PIRNAR d.o.o.,https://www.mojedelo.com/komercialist-za-italijo/d-516894,"Od vas pričakujemo: aktivno znanje slovenskega in italijanskega jezika, najmanj V. stopnjo izobrazbe, zaželjeno je poznavanje področja komerciale, napredno uporabo MS orodij, zaželjeno je poznavanje CRM in ERP sistemov,  2 leti delovnih izkušenj n...",18.02.2021,Osrednjeslovenska,mojedelo.com
206,Izkušen avtoličar m/ž,20.3.2021,"Novo mesto, Novo mesto z okolico",Personal center d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/izkusen-avtolicar-mz-755263-755263/,Uspešno slovensko podjetje išče sodelavca v avtomehanični delavnici na delovnem mestu Avtoličar.,18.2.2021,Jugovzhodna Slovenija,optius.com
207,Projektant tehnologije proizvodnje – Služba proizvodne tehnologije (m/ž),/,Šempeter pri Gorici,MAHLE Electric Drives Slovenija d.o.o.,https://www.mojedelo.com/projektant-tehnologije-proizvodnje-sluzba-proizvodne-tehnologije-mz/d-515948,"Vaše naloge in odgovornosti: sodelovanje pri načrtovanju tehnoloških procesov in vodenje aktivnosti, industrializacije izdelka s poudarkom na procesih montaže, sodelovanje pri izdelavi PFME analiz za nove proizvodne procese, podpora proizvodnji v ...",10.2.2021,Goriška,mojedelo.com
208,KLJUČAVNIČAR - MEHATRONIK - M/Ž,25. 02. 2021,KRANJ,"CREINA, PROIZVODNJA IN TRGOVINA KMETIJSKIH IN INDUSTRIJSKIH STROJEV IN NAPRAV, D.D., KRANJ",https://www.iskanjedela.si/search-jobs?jobId=2647995&STATE=Gorenjska,"NA PODROČJU KOMUNALNE OPREME ZAPOSLIMO KLJUČAVNIČARJA - MEHATRONIKA ZA IZVAJANJE OSNOVNIH IN ZAHTEVNEJŠIH DEL PRI MONTAŽI IN VZDRŽEVANJU OPREME KOMUNALNIH VOZIL ( STANDARDNA MONTAŽNA DELA, SERVISNO VZDRŽEVALNA IN OBNOVITVENA DELA). KANDIDAT SODELU...",26.01.2021,Gorenjska,iskanjedela.si
209,Diplomirani fizioterapevt - pripravnik (m/ž),25.02.2021,Koper,ORTOPEDSKA BOLNIŠNICA VALDOLTRA,https://www.deloglasnik.si/Zaposlitev/279874/Diplomirani-fizioterapevt-pripravnik-mz/,  Opravljanje pripravništva za poklic diplomirani fizioterapevt.,15.02.2021,Obalno-kraška,deloglasnik.si
210,POMOŽNI VRTNAR - M/Ž,05. 03. 2021,KOPER,"UREJANJE ZELENIH POVRŠIN, MIHA VRUNČ S.P.",https://www.iskanjedela.si/search-jobs?jobId=2655581&RECENCY=TODAY&STATE=Obalno-kra%C5%A1ka,OPRAVLJANJE POMOŽNIH VRTNARSKIH DEL. ,18.02.2021,Obalno-kraška,iskanjedela.si
211,VZGOJITELJ PREDŠOLSKIH OTROK -POMOČNIK VZGOJITELJA - M/Ž,27. 01. 2021,GROSUPLJE,Zasebni vrtec Malček,https://www.iskanjedela.si/search-jobs?jobId=2647524&STATE=Osrednjeslovenska,"SAMOSTOJNO OPRAVLJANJE VSAKODNEVNIH NALOG IN DEL V VRTCU, ANIMIRANJE OTROK, SODELOVANJE S STARŠI. ",22.01.2021,Osrednjeslovenska,iskanjedela.si
212,POMOČNIK/CA DISPONENTA / ADMINISTRATOR/KA - M/Ž,20. 02. 2021,SLOVENSKA BISTRICA,"TLK ŽAN KAPELAR s.p., TRANSPORT, LOGISTIKA",https://www.iskanjedela.si/search-jobs?jobId=2646552&STATE=Podravska,"POMOČNIK/CA ORGANIZATORJA PREVOZOV V DOMAČEM IN MEDNARODNEM PROMETU TER ADMINISTRACIJA, DELOVNE NALOGE: - ORGANIZIRANJA PREVOZOV - KOMUNICIRANJE S STRANKAMI - SPREMLJANJE IN RAZPOREJANJE VOZIL - ISKANJE TOVORA - KOMUNICIRANJE Z VOZNIKI - PRIPRAVE ...",21.01.2021,Podravska,iskanjedela.si
213,KLJUČAVNIČAR - M/Ž,23. 02. 2021,LJUBLJANA,"MINIAN podjetje za trženje in storitve, d.o.o., Ljubljana",https://www.iskanjedela.si/search-jobs?jobId=2655826&RECENCY=TODAY&STATE=Osrednjeslovenska,KLJUČAVNIČARSKA DELA ,18.02.2021,Osrednjeslovenska,iskanjedela.si
