,Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
3100,Samostojni komercialist (m/ž),/,Volčja Draga,Tekstilna tovarna Okroglica  d.d.,https://www.mojedelo.com/samostojni-komercialist-mz/d-514906,Glavni cilji dela: obvladovanje obstoječih ter osvajanje novih dobaviteljev repromaterialov. Zagotavljanje konkurenčnosti z ohranjanjem ter širitvijo portfelja potrjenih dobaviteljev istovrstnih materialov za potrebe izdelave lastnih artiklov na p...,29.1.2021,Primorsko-notranjska,mojedelo.com
3101,Programer/razvijalec m/ž,11.3.2021,"Slovenska Bistrica, Kolodvorska ul. 35 c",Marovt d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/programerrazvijalec-mz-754164-754164/,"V podjetju Inkolteh se ukvarjamo s snovanjem in razvojem IT arhitekture za podjetja, ki si želijo vzpostaviti digitaliziran in optimiziran proizvodni proces. Naš uspeh je rezultat več dejavnikov, a ključni so brez dvoma naši zaposleni. Odlikujejo ...",9.2.2021,Podravska,optius.com
3102,VZGOJITELJ V ENOTI VRTEC POLHEK POLŠNIK - M/Ž,16. 02. 2021,LITIJA,OSNOVNA ŠOLA LITIJA,https://www.iskanjedela.si/search-jobs?jobId=2653145&RECENCY=3DAYSAGO&STATE=Zasavska,"OPRAVLJA DELA IN NALOGE DOLOČENE S PREDPISI, LETNIM DELOVNIM NAČRTOM ZAVODA ",11.02.2021,Zasavska,iskanjedela.si
3103,DELOVODJA DE CVETLIČARNE - M/Ž,25. 02. 2021,VELENJE,"PUP, Podjetje za urejanje prostora, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2652393&RECENCY=3DAYSAGO&STATE=Savinjska,"ORGANIZACIJA DEL PO OPERATIVNEM PLANU IN TEHNIČNI DOKUMENTACIJI, VODENJE DNEVNIKA NA POSLOVNI ENOTI VRTNARSTVO, OPERATIVNO PLANIRANJE IN IZVAJANJE DEL, VODENJE PREDPISANIH EVIDENC IN OBRAČUN DELOVNIH NALOGOV, ZAGOTAVLJANJE MATERIALA IN DELOVNIH SR...",10.02.2021,Savinjska,iskanjedela.si
3104,Kuhar - m/ž,24.2.2021,Krvavec,"Rekreacijsko turistični center Krvavec, d.o.o.",https://www.optius.com/iskalci/prosta-delovna-mesta/kuhar-mz-751921-751921/,"Rekreacijsko turistični center Krvavec se nahaja v občini Cerklje na Gorenjskem in je od glavnega mesta, Ljubljane, oddaljen le 25 km, od Kranja 17 km in od Bleda le 35 km. Krvavec je najbližje smučišče mednarodnemu letališču (Brnik, 8 km) v Evropi.",25.1.2021,Gorenjska,optius.com
3105,"VIŠJI SVETOVALEC (ŠIFRA DM 1619) V SEKTORJU ZA TRAJNOSTNO MOBILNOST IN PROMETNO POLITIKO V DIREKTORATU ZA TRAJNOSTNO MOBILNOST IN PROMETNO POLITIKO, ZA IZVAJANJE NALOG DELNO V OKVIRU PROJEKTA TEHNIČNA PODPORA KOHEZIJSKI SKLAD–MZI-OPERATIVNI PROGRAM ZA IZVAJANJE EVROPSKE KOHEZIJSKE POLITIKE–2014-2020",25. 02. 2021,LJUBLJANA,MINISTRSTVO ZA INFRASTRUKTURO,https://www.iskanjedela.si/search-jobs?jobId=2652944&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,IZVAJANJE STROKOVNIH NALOG ZA IZVEDBO UKREPOV TRAJNOSTNE URBANE MOBILNOSTI SKLADNO Z NACIONALNIMI PROGRAMI IN PROGRAMSKIMI DOKUMENTI ZA ČRPANJE EU SREDSTEV SODELOVANJE V POSTOPKIH PRIPRAVE JAVNIH RAZPISOV IN JAVNIH NAROČIL IZVAJANJE OPERATIVNIH NA...,11.02.2021,Osrednjeslovenska,iskanjedela.si
3106,KNJIGOVODJA - M/Ž,29. 01. 2021,LJUBLJANA,"TEHNOLOGIKA, družba za promet blaga in storitev, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2646642&STATE=Osrednjeslovenska,"KNJIGOVODSKA DELA V RAČUNOVODSKEM SERVISU, V NAŠI POSLOVNI ENOTI TRZIN (STEKLENA PIRAMIDA). ",21.01.2021,Osrednjeslovenska,iskanjedela.si
3107,Orodjar (m/ž) - 2 prosti delovni mesti,25.2.2021,Ljubečna,Šumer d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/orodjar-mz-2-prosti-delovni-mesti-752688-752688/,"Podjetje Šumer d.o.o. pokriva vsa področja industrije, in sicer od razvoja, izdelave, trženja in servisiranja izdelkov, ki so namenjeni tako domačemu kot tujemu trgu. V svoj tim vabimo nove sodelavce na delovnem mestu Orodjar (m/ž).",26.1.2021,Savinjska,optius.com
3108,Picopek - kuhar (m/ž),18.3.2021,"Ljubljana, Bežigrad",Projekt studio d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/picopek-kuhar-mz-755114-755114/,"Iščemo pizzopeka - kuharja (m/ž) za delo v kolektivu polnem pozitivne energije. Če si za, se nam pridruži.",17.2.2021,Osrednjeslovenska,optius.com
3109,Vodja ekipe za razvoj programske opreme m/ž,/,Graz,Manpower d.o.o.,https://www.mojedelo.com/vodja-ekipe-za-razvoj-programske-opreme-mz/d-516697,"Za uspešno, inovativno podjetje v Avstriji iščemo Vodjo ekipe za razvoj programske opreme m/ž za delo v Grazu.",17.2.2021,Tujina,mojedelo.com
3110,Junior Facebook oglaševalec (ž/m),/,Trzin,MEGASPLET d.o.o.,https://www.mojedelo.com/junior-facebook-oglasevalec-zm/d-516635,"Delo zajema: priprava oglaševalskih kampanj (Facebook), priprava marketinških besedil, priprava strategij digitalnega marketinga..",16.2.2021,Gorenjska,mojedelo.com
3111,ZDRAVSTVENI ADMINISTRATOR V - M/Ž,30. 01. 2021,JESENICE,SPLOŠNA BOLNIŠNICA JESENICE,https://www.iskanjedela.si/search-jobs?jobId=2622144&STATE=Gorenjska,"DELOVNE NALOGE SO PISANJE IZVIDOV, UREJANJE DOKUMENTACIJE ZA PACIENTE, OBRAČUN STORITEV TER IZVAJANJE OSTALIH ADMINISTRATIVNIH DEL. ",22.01.2021,Gorenjska,iskanjedela.si
3112,Tehnolog v IMP proizvodnji m/ž,/,Ljubljana,MGC Pharmaceuticals d.o.o.,https://www.mojedelo.com/tehnolog-v-imp-proizvodnji-mz/d-514015,"Pričakujemo: zakjlučena VII. stopnja izobrazbe naravoslovne smeri, vsaj 2 leti izkušenj v proizvodnji oz. primerljivem delovnem mestu, odgovorno, organizirano, natančno in samoiniciativno osebo, sposobnost dela v timu, obvladovanje GMP standardov,...",1.2.2021,Osrednjeslovenska,mojedelo.com
3113,Prodajalec (m/ž) - Jesenice,24.2.2021,Jesenice,TEDi Betriebs d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-mz-jesenice-754313-754313/,/,10.2.2021,Gorenjska,optius.com
3114,Produktni vodja v marketingu za blagovno znamko Rovus (m/ž),/,Ljubljana,Studio Moderna d.o.o.,https://www.mojedelo.com/produktni-vodja-v-marketingu-za-blagovno-znamko-rovus-mz/d-517079,"Ključne naloge: sodelovanje pri izboru novih izdelkov v Rovus portfelju, priprava embalaže in navodil za vse nove izdelke, vključno z oblikovanjem tekstov..",19.02.2021,Osrednjeslovenska,mojedelo.com
3115,SREDNJA MEDICINSKA SESTRA - M/Ž,20. 02. 2021,LJUBLJANA,VIDIC MAJDA - ORDINACIJA SPLOŠNE MEDICINE,https://www.iskanjedela.si/search-jobs?jobId=2652716&RECENCY=3DAYSAGO&STATE=Osrednjeslovenska,"delo s pacienti, administracija, delo na računalniku ",10.02.2021,Osrednjeslovenska,iskanjedela.si
3116,Specialist v računovodstvu m/ž,/,Gorenjska regija,HSG KARIERA,https://www.mojedelo.com/specialist-v-racunovodstvu-mz/d-514245,"Za našega naročnika, priznano slovensko podjetje s 30-letno tradicijo na področju kabelske konfekcije, specializirano za belo tehniko in avtomobilsko industrijo, iščemo novega sodelavca na delovnem mestu Specialist v računovodstvu.",22.1.2021,Gorenjska,mojedelo.com
3117,Zidar (m/ž),19.02.2021,Maribor,"A PLUS GRADNJE, zaključna gradbena dela in trgovina, d.o.o.",https://www.deloglasnik.si/Zaposlitev/278701/Zidar-mz/,  Išče se kandidat/ka za delovno mesto:  Zidar (m/ž).,20.01.2021,Podravska,deloglasnik.si
3118,Pomožni steklar / monter (m/ž),24.02.2021,Domžale,STEKLARSTVO IN FUZIJA BP d.o.o.,https://www.deloglasnik.si/Zaposlitev/278911/Pomozni-steklar-monter-mz/,  Pomoč pri steklarskih in montažnih opravilih.,25.01.2021,Osrednjeslovenska,deloglasnik.si
3119,Vzdrževalec (m/ž),27.2.2021,Prekmurje,Agencija Agado d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/vzdrzevalec-mz-752904-752904/,/,28.1.2021,Pomurska,optius.com
3120,Vodja projektov prometne infrastrukture (m/ž),03.03.2021,Ljubljana,GH HOLDING storitvena družba d.o.o.,https://www.deloglasnik.si/Zaposlitev/279260/Vodja-projektov-prometne-infrastrukture-mz/,"  Podjetje Holding d.o.o. išče kandidate za vodenje projektov na področju prometne infrastrukture.  Področje dela obsega samostojno vodenje projektov in vse ostale aktivnosti, povezane s tem.",01.02.2021,Osrednjeslovenska,deloglasnik.si
3121,Konstrukter m/ž,/,Medvode ,Brinox d.o.o.,https://www.mojedelo.com/konstrukter-mz/d-515212,"Opis del in nalog: konstruiranje strojnih delov, delov naprav in izdelkov za procesno industrijo; sodelovanje in komunikacija z naročniki v fazi razvoja; sodelovanje z ostalim oddelki glede projektnih in razvojnih aktivnostih; izdelavo delavniških...",2.2.2021,Gorenjska,mojedelo.com
3122,Električar - vzdrževalec m/ž,25.2.2021,Celje,Šumer d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/elektricar-vzdrzevalec-mz-752690-752690/,"Podjetje Šumer d.o.o. je sodobno, razvojno naravnano podjetje, ki pokriva vsa področja industrije. Imamo lasten razvoj, bogat program proizvodne izdelave na področju plastike in kovine, trženja in servisiranja izdelkov, ki so namenjeni tako domače...",26.1.2021,Savinjska,optius.com
3123,LIVAR - M/Ž,02. 03. 2021,KRANJ,"BLISK livarstvo, družba za proizvodnjo in trgovino d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2585509&RECENCY=3DAYSAGO&STATE=Gorenjska,DELO V PROIZVODNJI NA POLAVTOMATSKEM STROJU ZA TLAČNO LITJE ALUMINIJASTIH IZDELKOV ,09.02.2021,Gorenjska,iskanjedela.si
3124,Operater v farmacevtskem  podjetju m/ž,/,Ljubljana,HSG KARIERA,https://www.mojedelo.com/operater-v-farmacevtskem-podjetju-mz/d-516282,"Za našega naročnika, mednarodno priznano farmacevtsko podjetje, iščemo nove sodelavce za delovno mesto Operater v farmacevtski proizvodnji m/ž.",15.2.2021,Osrednjeslovenska,mojedelo.com
3125,Mesar,/,Koper,"KZ Agraria Koper, z.o.o.",https://www.mojedelo.com/mesar/d-516744,"Opis: pripravljanje in obdelovanje mesa za prodajo, prevzem mesa in razvrščanje le-tega v skladišče-hladilnice ...",18.02.2021,Obalno-kraška,mojedelo.com
3126,Voznik tovornega vozila v notranjem prometu (m/ž),17.03.2021,Postojna,AVTOPREVOZNIŠTVO PIVK ROBERT S.P.,https://www.deloglasnik.si/Zaposlitev/279822/Voznik-tovornega-vozila-v-notranjem-prometu-mz/,"  Vožnja, nakladanje ter razkladanje blaga.",15.02.2021,Primorsko-notranjska,deloglasnik.si
3127,Varnostnik z orožjem m/ž za delo na področju intervencije - Ljubljana,/,Ljubljana,AKTIVA VAROVANJE d.d.,https://www.mojedelo.com/varnostnik-z-orozjem-mz-za-delo-na-podrocju-intervencije-ljubljana/d-514998,"Kaj pričakujemo: II., III., IV. ali V.  stopnjo šolske izobrazbe, poljubne smeri, zaželen opravljen NPK za varnostnika ali končana srednja šola za poklic Tehnik varovanja,...",1.2.2021,Osrednjeslovenska,mojedelo.com
3128,NATAKAR POMOČNIK - M/Ž,18. 02. 2021,MOZIRJE,"PANATOP, TRŽENJE, STORITVE, SVETOVANJE, D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2652504&RECENCY=3DAYSAGO&STATE=Savinjska,"ODGOVORNI BOSTE ZA STREŽBO PIJAČE, OBRAČUNAVANJE GOSTINSKIH STORITEV, SKRB ZA PRIJETNO DELOVNO OKOLJE IN DOBRO POČUTJE GOSTOV. ",10.02.2021,Savinjska,iskanjedela.si
3129,Delavec za srednje zahtevna dela v proizvodnji (m/ž),/,Ljubljana,Naton d.o.o.,https://www.mojedelo.com/delavec-za-srednje-zahtevna-dela-v-proizvodnji-mz/d-512718,Za našega naročnika uspešno podjetje z sedežem v Ljubljani išemo več proizvodnih delavcev.,8.2.2021,Osrednjeslovenska,mojedelo.com
3130,Voznik C+E kategorije (m/ž),/,SV Slovenija,Avtoprevozništvo Boris Žnidarič s.p.,https://www.zaposlitev.info/delo/voznik-ce-kategorije-m-z/,"        Transportno podjetje deluje in opravlja prevoze za živila že več kot deset let. Zanesljivo in pošteno opravljamo svoje storitve, kar potrjuje tudi izdana bonitetna ocena AAA+.Iščemo zanesljivega voznika C+E kategorije (m/ž), z izkušnjami,",11.2.2021,Pomurska,zaposlitev.info
3131,Ličar m/ž,/,Gornja Radgona,Rosenbauer d.o.o.,https://www.mojedelo.com/licar-mz/d-516929,"Opis: sprejem in pregled delovne dokumentacije (delovni nalog, načrt, tehnološki postopek, material,….), samostojna priprava in mešanje barv v mešalni bateriji, zagotavljanje viskoznosti kot jo predpiše proizvajalec, izvajanje najzahtevnejših razn...",18.02.2021,Pomurska,mojedelo.com
3132,OPERATER STROJA ZA TLAČNI LIV - M/Ž,15. 02. 2021,SEŽANA,"MAHLE Electric Drives Komen d.o.o., Tlačno litje in obdelava delov iz aluminija",https://www.iskanjedela.si/search-jobs?jobId=2631444&STATE=Obalno-kra%C5%A1ka,"UREJANJE STROJEV IN NAPRAV, MENJAVA ORODIJ, NASTAVITEV STROJA-DELO S STROJEM IN PRIPRAVA IZDELKOV ZA PREVZEM, SKRB ZA ČISTOČO IN UREJENO DELOVNO MESTO, ZAGOTAVLJANJE KAKOVOSTI IZDELKOV. ",25.01.2021,Obalno-kraška,iskanjedela.si
3133,Proizvodni delavec (m/ž),26.02.2021,Komen,Biovis d.o.o.,https://www.deloglasnik.si/Zaposlitev/279091/Proizvodni-delavec-mz/,  - zlaganje artiklov na police - zalaganje skladišča - odvoz paketov  - skrb za skladišče - pakiranje paketov - dvigovanje paketov višjih tež,27.01.2021,Osrednjeslovenska,deloglasnik.si
3134,Junior razvojni inženir strojne opreme m/ž,21.2.2021,Solkan,Kariera d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/junior-razvojni-inzenir-strojne-opreme-mz-752344-752344/,/,22.1.2021,Goriška,optius.com
3135,FIZIOTERAPEVT III (AMBULANTA) - PRIPRAVNIK - M/Ž,18. 02. 2021,POSTOJNA,"ZDRAVSTVENI DOM DR. FRANCA AMBROŽIČA, POSTOJNA",https://www.iskanjedela.si/search-jobs?jobId=2652589&RECENCY=3DAYSAGO&STATE=Primorsko-notranjska,"NAČRTOVANJE, IZVAJANJE IN VREDNOTENJE PROGRAMA FIZIOTERAPIJE, OCENJEVANJE IN MERJENJE FUNKCIJ SPOSOBNOSTI BOLNIKA, IZVAJANJE FIZIOTERAPEVTSKIH METOD IN TEHNIK, IZVAJANJE TERAPEVTSKIH IN DIAGNOSTIČNIH ELEKTROSTIMULACIJ. ",10.02.2021,Primorsko-notranjska,iskanjedela.si
3136,Pomožni vrtnar (m/ž),05.03.2021,Koper,"UREJANJE ZELENIH POVRŠIN, MIHA VRUNČ S.P.",https://www.deloglasnik.si/Zaposlitev/280089/Pomozni-vrtnar-mz/,  Opravljanje pomožnih vrtnarskih del.,18.02.2021,Obalno-kraška,deloglasnik.si
3137,Izkušeni Backend razvijalec,/,Ljubljana,Mikrocop d.o.o.,https://www.mojedelo.com/izkuseni-backend-razvijalec/d-514177,"Naša ekipa je mlada in dinamična. Ker širimo poslovanje, iščemo izkušenega backend razvijalca, ki se ji bo pridružil. K sodelovanju vabimo zanesljivega, strokovnega in proaktivnega sodelavca, ki bo sodeloval pri r...",23.1.2021,Osrednjeslovenska,mojedelo.com
3138,Delavec v proizvodnji (m/ž),/,Vrhnika,PLASTIT d.o.o.,https://www.mojedelo.com/delavec-v-proizvodnji-mz/d-516663,"- Posluževanje brizgalnega stroja, - vizualna kontrola izdelkov, - prebiranje, obrezovanje, sestavljanje, pakiranje, priprava in zaključevanje proizvodnje izdelkov iz plastičnih mas.  Delo poteka v 3 izmenah-tedenski turnus (7-15,15-23,23-7). V...",17.2.2021,Osrednjeslovenska,mojedelo.com
3139,Prodajalec - tržnik storitev (m/ž),24.02.2021,Ptuj,MEGATEL CENTER trgovina in storitve d.o.o.,https://www.deloglasnik.si/Zaposlitev/278928/Prodajalec-trznik-storitev-mz/,"  Prodaja in trženje storitev T2, telefonska prodaja in delo v poslovalnici.",25.01.2021,Podravska,deloglasnik.si
3140,Orodjar (m/ž) na Dolenjskem,5.3.2021,Dolenjska,Trenkwalder kadrovske storitve d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/orodjar-mz-na-dolenjskem-753675-753675/,"Si želite dela v eni izmeni, proste vikende, stimulativno plačilo in zaposlitev za nedoločen čas? Ne odlašajte s prijavo! ",4.2.2021,Jugovzhodna Slovenija,optius.com
3141,Svetovalec v maloprodaji,/,Ljubljana,Etis d.o.o.,https://www.mojedelo.com/svetovalec-v-maloprodaji/d-516400,"Od vas pričakujemo: dokončano najmanj srednjo izobrazbo, delovne izkušnje na primerljivem delovnem mestu..",15.2.2021,Osrednjeslovenska,mojedelo.com
3142,VIŠJI SVETOVALEC V SEKTORJU ZA MEDNARODNE ZADEVE - M/Ž,26. 02. 2021,LJUBLJANA,"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, UPRAVA REPUBLIKE SLOVENIJE ZA VARNO HRANO, VETERINARSTVO IN VARSTVO RASTLIN",https://www.iskanjedela.si/search-jobs?jobId=2655467&RECENCY=TODAY&STATE=Osrednjeslovenska,"-OPRAVLJANJE NALOG, VEZANIH NA PROJEKT PREDSEDOVANJA REPUBLIKE SLOVENIJE SVETU EU, -SODELOVANJE PRI OBLIKOVANJU SISTEMSKIH REŠITEV IN DRUGIH NAJZAHTEVNEJŠIH GRADIV, -SAMOSTOJNA PRIPRAVA ZAHTEVNIH ANALIZ, RAZVOJNIH PROJEKTOV, INFORMACIJ, POROČIL IN...",18.02.2021,Osrednjeslovenska,iskanjedela.si
3143,Proizvodni delavec / obdelovalec plastike (m/ž),15.3.2021,Šmarjeta,Plastoform Šmarjeta d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/proizvodni-delavec-obdelovalec-plastike-mz-755186-755186/,Plastoform Šmarjeta se ukvarja s termoformiranjem plastičnih elementov. Pri razvoju novih izdelkov naše partnerje podpiramo od ideje do končnega izdelka.,17.2.2021,Jugovzhodna Slovenija,optius.com
3144,"ČISTILKA, ČISTILEC - M/Ž",15. 02. 2021,BREŽICE,"ZKP1, trgovina in storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2649095&RECENCY=3DAYSAGO&STATE=Gorenjska,"ČIŠČENJE PROSTOROV, SANITARIJ, OKOLICE, PARKIRIŠČA ",10.02.2021,Gorenjska,iskanjedela.si
3145,Skladiščnik (Administrativna dela),/,Prebold,"Bisol Group, d.o.o.",https://www.mojedelo.com/skladiscnik-administrativna-dela/d-516646,"Glavne naloge in odgovornosti: administrativna dela v vezi s skladiščnim poslovanjem, pregled zalog, prevzem in izdaja materiala s spremljajočo dokumentacijo, izdaja odprem, spremljanje minimalne zaloge materiala, administrativna pomoč vodji sklad...",16.2.2021,Savinjska,mojedelo.com
3146,Operater na previjalniku kartonskega stroja (m/ž),22.2.2021,"Količevo, Domžale","Količevo Karton, d.o.o.",https://www.optius.com/iskalci/prosta-delovna-mesta/operater-na-previjalniku-kartonskega-stroja-mz-755086-755086/,"Smo veliko podjetje iz avstrijske skupine Mayr Melnhof Karton GmbH, ki je največji proizvajalec premaznih kartonov iz vračljivega papirja tako na evropskem kot na svetovnem trgu. Podjetje ima dolgoletno tradicijo proizvodnje kartona na Količevem i...",16.2.2021,Osrednjeslovenska,optius.com
3147,OPERATER NA KEMIČNI LINIJI - M/Ž,28. 01. 2021,LJUBLJANA,GORNIK galvanizacija d.o.o.,https://www.iskanjedela.si/search-jobs?jobId=2647850&STATE=Osrednjeslovenska,SKRB ZA TEKOČE DELO NA LINIJI IN SKRB ZA ČISTOČO DELOVNEGA MESTA ,25.01.2021,Osrednjeslovenska,iskanjedela.si
3148,TEHNIK ELEKTRONIKE - M/Ž,26. 02. 2021,MARIBOR,"SMART KEY, proizvodnja, razvoj in druge storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2655517&RECENCY=TODAY&STATE=Podravska,"DELO IN POMOČ V PROIZVODNJI ELEKTRONSKIH VEZIJ. ROČNO SPAJKANJE, POPRAVILA, ITD... ",18.02.2021,Podravska,iskanjedela.si
3149,Čistilec / čistilka (Šentvid pri Stični) m/ž,24.2.2021,Šentvid pri Stični,FMG kadrovska agencija d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/cistilec-cistilka-sentvid-pri-sticni-mz-752558-752558/,"Iščemo čistilca / čistilko (m/ž) na lokaciji Šentvid pri Stični. Enoizmensko popoldansko delo za krajši delovni čas (4h), redno plačilo in urejeno delovno okolje. Pričetek že s Februarjem.",25.1.2021,Jugovzhodna Slovenija,optius.com
3150,DELAVEC V PROIZVODNJI - POCINKOVALEC II - M/Ž,13. 03. 2021,CELJE,"POCINKOVALNICA, STORITVENO PODJETJE, D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2653459&RECENCY=3DAYSAGO&STATE=Savinjska,NALAGANJE ELEMENTOV; - IZVAJANJE POSTOPKA POTAPLJANJA PO TEHNIČNI DOKUMENTACIJI; RAZLAGANJE IN KONČNO ČIŠČENJE ŽE POCINKANIH ELEMENTOV; KOMISIONIRANJE IN PRIPRAVLJANJE ELEMENTOV PO STRANKAH ZA POTREBE ODPREME; DRUGA DELA PO NALOGU NADREJENEGA; ,11.02.2021,Savinjska,iskanjedela.si
3151,Mehatronik (m/ž),5.3.2021,Kranj,Dossis d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/mehatronik-mz-753538-753538/,"Smo vodilno podjetje na področju dozirnih in mešalnih naprav oz. sistemov za viskozne, pastozne in hotmelt materiale z lastnim razvojem in trženjem proizvodov na slovenskem kot tudi tujih trgih.V svoje vrste vabimo strokovnjaka za področje strojni...",4.2.2021,Gorenjska,optius.com
3152,POMOČNIK SLIKOPLESKAR - M/Ž,30. 01. 2021,CELJE,"CEROB, druga zaključna gradbena dela, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2647523&STATE=Savinjska,POMOČ PRI OPRAVLJANJU SLIKOPLESKARSKIH DEL ,22.01.2021,Savinjska,iskanjedela.si
3153,PREVIJALEC - M/Ž,18. 02. 2021,KRANJ,"MATRIS, servis industrijskih servo motorjev in vretenskih motorjev d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2652587&RECENCY=3DAYSAGO&STATE=Gorenjska,"DELO NA DELOVNEM MESTU OZIROMA VRSTA DELA ZAJEMA NASLEDNJA DELA: -PRIPRAVO STATORJA ELEKTROMOTORJA (ODSTRANJEVANJE STAREGA NAVITJA, VIZUALNI PREGLED IN OPOZORILO NA MOREBITNA ODSTOPANJA, TER USTREZNO UKREPANJE) -PREVIJANJE NAVITIJ ENOSTAVNEJŠIH EL...",10.02.2021,Gorenjska,iskanjedela.si
3154,"ELEKTROTEHNIK, ELEKTROINŠTALATER - M/Ž",29. 01. 2021,LJUBLJANA,ENATELL montaža telekomunikacij d.o.o.,https://www.iskanjedela.si/search-jobs?jobId=2647968&STATE=Osrednjeslovenska,"UREDI ELEKTRIČNO NAPELJAVO V NOTRANJIH PROSTORIH TAKO ZA POTREBE RAZSVETLJAVE KOT ZA POTREBE RAČUNALNIŠKEGA OMREŽJA, INTERNETNE POVEZAVE, TELEFONSKE NAPELJAVE, KLIMATSKE NAPRAVE ALI ZA NAPELJAVO ALARMNEGA SISTEMA IN POSTAVITEV STRELOVODA. ",26.01.2021,Osrednjeslovenska,iskanjedela.si
3155,Računovodja (m/ž),/,Slovenska Bistrica,Personal center d.o.o.,https://www.mojedelo.com/racunovodja-mz/d-514376,"Za našega naročnika, uspešno in rastoče podjetje MTD BIO, d.o.o. iščemo novega sodelavca na področju računovodstva. Pridružite se ekipi strokovnjakov za celovite tehnološke rešitve za podporo avtomatizaciji proizvodnih/storitvenih procesov, opreme...",25.1.2021,Podravska,mojedelo.com
3156,Produktni menedžer m/ž,/,Ljubljana/Velenje,HSG KARIERA,https://www.mojedelo.com/produktni-menedzer-mz/d-515743,"Za našega naročnika, enega izmed vodilnih ponudnikov hišnih aparatov na evropskem trgu, ki je s svojimi proizvodi prisotno v več kot 160 državah sveta, iščemo novega sodelavca za delovno mesto produktni menedžer.",9.2.2021,Osrednjeslovenska,mojedelo.com
3157,Organizator ladijskih prevozov / špediter (m/ž),19.03.2021,Koper,Maurice Ward Logistika d.o.o.,https://www.deloglasnik.si/Zaposlitev/279990/Organizator-ladijskih-prevozov-spediter-mz/,"  V ekipo vabimo novega sodelavca za delovno mesto:  Organizator ladijskih prevozov/špediter - Sea Freight Operator (m/ž) za našo poslovalnico v Kopru.  : - organizacija ladijskih transportov - komunikacija z strankami - izdelava ponudb, operativn...",17.02.2021,Obalno-kraška,deloglasnik.si
3158,Hišni mizar / monter / vzdrževalec m/ž,/,Ljubljana,"Rutar marketing, d.o.o.",https://www.mojedelo.com/hisni-mizar-monter-vzdrzevalec-mz/d-515391,Iščemo: Hišne mizarje/monterje/vzdrževalce z delovnimi izkušnjami na tem področju.,3.2.2021,Osrednjeslovenska,mojedelo.com
3159,Magister farmacije (m/ž),19.03.2021,Trbovlje,Lekarna Pušnik d.o.o.,https://www.deloglasnik.si/Zaposlitev/280038/Magister-farmacije-mz/,  V Lekarni Pušnik iščemo magistro ali magistra farmacije s strokovnim izpitom za delovno mesto svetovalca v lekarni v Trbovljah.,17.02.2021,Zasavska,deloglasnik.si
3160,SREDNJA MEDICINSKA SESTRA - M/Ž,30. 01. 2021,NOVO MESTO,SPLOŠNA BOLNIŠNICA NOVO MESTO,https://www.iskanjedela.si/search-jobs?jobId=2647471&STATE=Jugovzhodna%20Slovenija,"PRIPRAVA PACIENTA NA DIAGNOSTIČNE IN TERAPEVTSKE POSEGE IN POSTOPKE, IZVEDBA ENOSTAVNIH DIAGNOSTIČNO TERAPEVTSKIH POSEGOV IN POSTOPKOV, PRIPRAVA DELOVNEGA PROSTORA-PACIENTOVEGA OKOLJA, APARATUR, MATERIALOV, DELOVNIH PRIPOMOČKOV IN INŠTRUMENTOV ZA ...",22.01.2021,Jugovzhodna Slovenija,iskanjedela.si
3161,TEHNIK ZDRAVSTVENE NEGE - PRIPRAVNIK (M/Ž) - M/Ž,31. 01. 2021,ŠMARJE PRI JELŠAH,ZDRAVSTVENI DOM ŠMARJE PRI JELŠAH,https://www.iskanjedela.si/search-jobs?jobId=2648202&STATE=Savinjska,OPRAVLJANJE DEL IN NALOG PO PROGRAMU PRIPRAVNIŠTVA ZA TEHNIKA ZDRAVSTVENE NEGE ,26.01.2021,Savinjska,iskanjedela.si
