Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Serviser (m/ž),/,Loški Potok,RIKO EKOS D.O.O.,https://www.mojedelo.com/serviser-mz/d-514634,"Pričakujemo: srednja poklicna izobrazba smer strojništvo, elektrotehnika ali mehatronik, vsaj 3 leta delovnih izkušenj na področju servisiranja strojev, računalniška pismenost (word, excel, acad), pričakujemo dobro poznavanje strojništva, hidravli...",4.2.2021,Jugovzhodna Slovenija,mojedelo.com
Vodja proizvodnje (m/ž),/,Semič,REKRUTER jkps d.o.o.,https://www.mojedelo.com/vodja-proizvodnje-mz/d-515476,"Naš naročnik je globalno priznan ponudnik inteligentnih industrijskih rešitev in vrhunskih elektro-tehničnih izdelkov. Njihove rešitve je moč najti na vseh kontinentih sveta, kjer predstavljajo ključne sistemske gradnike v različnih panogah. V svo...",4.2.2021,Jugovzhodna Slovenija,mojedelo.com
Operater CNC strojev za preoblikovanje pločevine m/ž,/,Ivančna Gorica,COOKINOX d.o.o.,https://www.mojedelo.com/operater-cnc-strojev-za-preoblikovanje-plocevine-mz/d-514479,"Pričakujemo: IV ali V. stopnjo izobrazbe strojne oz. druge ustrezne tehnične smeri, ustrezne izkušnje pri rokovanju s CNC stroji za preoblikovanje pločevine.",4.2.2021,Jugovzhodna Slovenija,mojedelo.com
Kontrolor kakovosti m/ž,/,Okolica Novega mesta,WORKFORCE d.o.o. ,https://www.mojedelo.com/kontrolor-kakovosti-mz/d-515430,"Uspešno mednarodno proizvodno podjetje iz okolice Novega mesta, ki deluje v avtomobilski industriji, zaradi želje po širitvi ekipe, vabi v svoj kolektiv novega sodelavca na delovno mesto KONTROLOR KAKOVOSTI m/ž.",4.2.2021,Jugovzhodna Slovenija,mojedelo.com
Proizvodni delavec (m/ž) v Beli krajini,/,Semič,Trenkwalder d.o.o.,https://www.mojedelo.com/proizvodni-delavec-mz-v-beli-krajini/d-502643,"Slovenski proizvajalec elektrotehničnih izdelkov v svoj kolektiv vabi nove sodelavce! Pridružite se mednarodno uspešnemu podjetju, ki je zavezano kakovosti in stavi na moč inovacij. ",4.2.2021,Jugovzhodna Slovenija,mojedelo.com
Orodjar (m/ž) na Dolenjskem,/,Dolenjska,Trenkwalder d.o.o.,https://www.mojedelo.com/orodjar-mz-na-dolenjskem/d-512345,"Si želite dela v eni izmeni, proste vikende, stimulativno plačilo in zaposlitev za nedoločen čas? Ne odlašajte s prijavo! ",4.2.2021,Jugovzhodna Slovenija,mojedelo.com
Elektro vzdrževalec (m/ž) v Beli krajini,/,Semič,Trenkwalder d.o.o.,https://www.mojedelo.com/elektro-vzdrzevalec-mz-v-beli-krajini/d-512347,"Slovenski proizvajalec elektro-tehničnih izdelkov v svojo ekipo vabi samostojnega in motiviranega elektrotehnika. Nudijo vam enoizmensko delo, uporabo naprednih tehnologij in odlično priložnost za nadaljnji strokovni razvoj. ",4.2.2021,Jugovzhodna Slovenija,mojedelo.com
Viličarist (m/ž) v okolici Krškega,/,okolica Krškega,Trenkwalder d.o.o.,https://www.mojedelo.com/vilicarist-mz-v-okolici-krskega/d-510370,"Uveljavljeno mednarodno podjetje išče viličarista za dolgoročno sodelovanje. Če si želite stabilne zaposlitve v varnem delovnem okolju in prijetnem kolektivu, ne odlašajte s prijavo.",4.2.2021,Jugovzhodna Slovenija,mojedelo.com
Monter v proizvodnji m/ž,/,Trebnje,WORKFORCE d.o.o. ,https://www.mojedelo.com/monter-v-proizvodnji-mz/d-515429,"Naš naročnik, svetovno priznani proizvajalec modularnih enot, vabi v svoj kolektiv delovne in resne kandidate za delovno mesto MONTER V PROIZVODNJI (m/ž). Prijavite se čimprej.",3.2.2021,Jugovzhodna Slovenija,mojedelo.com
Mesar (m/ž) v Žabji vasi,/,Žabja vas,Mercator d.d.,https://www.mojedelo.com/mesar-mz-v-zabji-vasi/d-515337,"K prijavi vabimo kandidate, ki imajo dokončano najmanj IV. stopnjo izobrazbe. Zaželeno je, da: ste spretni pri pripravi mesa, vas veseli delo z ljudmi, ste pozitivno naravnani in znate to prenašati tudi na druge ljudi, pripravljeni za učenje in no...",3.2.2021,Jugovzhodna Slovenija,mojedelo.com
Samostojni skladiščnik,/,Grosuplje,Teknoxgroup Slovenija d.o.o. ,https://www.mojedelo.com/samostojni-skladiscnik/d-515148,"V našem skladišču nadomestnih delov boste odgovorni za planiranje, organiziranje in izvedbo vseh procesov. V tem boste uspešni s pomočjo svojega strokovnega in sodobnega znanja logistike, samostojnosti, marljivosti ter uporabe tehnoloških orodij.",3.2.2021,Jugovzhodna Slovenija,mojedelo.com
Vodja izmene m/ž,/,Semič,CABLEX PLASTIK d.o.o.,https://www.mojedelo.com/vodja-izmene-mz/d-515310,"Vaše naloge bodo obsegale: načrtovanje, organiziranje, vodenje in nadziranje dela v domicilni izmeni, potrjevanje procesov, zagotavljanje kakovosti izdelkov in njihovo sproščanje do kupca na podlagi zahtev proizvodne dokumentacije, reševanje tekoč...",3.2.2021,Jugovzhodna Slovenija,mojedelo.com
Pomožni delavec v proizvodnji (m/ž),/,Ljubljana - Zalog,"Atama agencija za zaposlovanje, d.o.o.",https://www.mojedelo.com/pomozni-delavec-v-proizvodnji-mz/d-515169,Zaposlili bomo VEČ oseb na delovnem mestu - Pomožni delavec v proizvodnji (m/ž). Delo poteka v Ljubljani v 3 izmenah. Možen je prihod in odhod z dela z LPP avtobusom.,2.2.2021,Jugovzhodna Slovenija,mojedelo.com
Prodajalci (m/ž) v Novem mestu,/,Novo mesto,Mercator d.d.,https://www.mojedelo.com/prodajalci-mz-v-novem-mestu/d-515091,"K prijavi vabimo kandidate, ki imajo dokončano najmanj IV. stopnjo izobrazbe. Zaželjeno je, da: imate izkušnje z delom v trgovini; vas veseli delo z ljudmi; ste vestni in zanesljivi; ste pozitivno naravnani in znate to prenašati tudi na druge ljud...",2.2.2021,Jugovzhodna Slovenija,mojedelo.com
Brusilec - polirec m/ž,/,Ivančna Gorica,COOKINOX d.o.o.,https://www.mojedelo.com/brusilec-polirec-mz/d-514478,"Pričakujemo: poznavanje tehnične delavniške dokumentacije; ambicije po tehnični natančnosti in dobre organizacijske sposobnosti, dobre komunikacijske sposobnosti in smisel za timsko delo.",2.2.2021,Jugovzhodna Slovenija,mojedelo.com
Delavec v lesni proizvodnji,/,Semič,BELES D.O.O.   ,https://www.mojedelo.com/delavec-v-lesni-proizvodnji/d-514181,"Naloge: sortiranje in zlaganje rezanega lesa, upravljanje z vakuumskim dvigalom za zlaganje desk, skrb za kakovost izdelkov ... Dobro plačilo za dobro opravljeno delo z ustrezno stimulacijo; razgibano in nemonotono delo; zaposlitev za določen čas ...",2.2.2021,Jugovzhodna Slovenija,mojedelo.com
Knjigovodja/Računovodja m/ž,/,Ljubljana,E NALOŽBE d.o.o.,https://www.mojedelo.com/knjigovodjaracunovodja-mz/d-514987,"V družbi E NALOŽBE d.o.o. Vam nudimo zaposlitev za nedoločen čas na delovnem mestu KNJIGOVODJA/RAČUNOVODJA, z najmanj 2 leti delovnih izkušenj in željo po strokovnem izpopolnjevanju. ",2.2.2021,Jugovzhodna Slovenija,mojedelo.com
CNC operater m/ž,/,Črnomelj,Livar d.d. Ivančna Gorica,https://www.mojedelo.com/cnc-operater-mz/d-515124,"Vaše naloge in odgovornosti: opravljanje najenostavnejših operacij obdelave ulitkov na osnovi tehnoloških postopkov, skic, načrtov ali ustnega navodila nadrejenega v predpisanih kakovostnih okvirih; dela na CNC strojih; dela na univerzalnih stroji...",1.2.2021,Jugovzhodna Slovenija,mojedelo.com
Viličarist (m/ž) Krško,/,Krško,"Klemen Transport, Klemen Piškur s.p.",https://www.mojedelo.com/vilicarist-mz-krsko/d-515012,"V svoj kolektiv vabimo novega sodelavca za delovno mesto  Viličarist (m/ž). Kraj dela: Krško, 4 prosta delovna mesta.",1.2.2021,Jugovzhodna Slovenija,mojedelo.com
Varnostnik z orožjem m/ž za delo na področju intervencije - Črnomelj,/, Črnomelj,AKTIVA VAROVANJE d.d.,https://www.mojedelo.com/varnostnik-z-orozjem-mz-za-delo-na-podrocju-intervencije-crnomelj/d-514995,"Kaj pričakujemo: II., III., IV. ali V.  stopnjo šolske izobrazbe, poljubne smeri, zaželen opravljen NPK za varnostnika ali končana srednja šola za poklic Tehnik varovanja,...",1.2.2021,Jugovzhodna Slovenija,mojedelo.com
Varnostnik z orožjem m/ž za delo na področju intervencije - Novo mesto,/,Novo mesto,AKTIVA VAROVANJE d.d.,https://www.mojedelo.com/varnostnik-z-orozjem-mz-za-delo-na-podrocju-intervencije-novo-mesto/d-514996,"Kaj pričakujemo: II., III., IV. ali V.  stopnjo šolske izobrazbe, poljubne smeri, zaželen opravljen NPK za varnostnika ali končana srednja šola za poklic Tehnik varovanja,...",1.2.2021,Jugovzhodna Slovenija,mojedelo.com
Varnostnik m/ž Trebnje,/,Trebnje,AKTIVA VAROVANJE d.d.,https://www.mojedelo.com/varnostnik-mz-trebnje/d-514977,"Poglavitne naloge: varovanje oseb in premoženja, nadzor nad strankami, zaposlenimi, blagovnim prometom, obhodi po varovanih območjih, varovanje javnih zbiranj…",1.2.2021,Jugovzhodna Slovenija,mojedelo.com
Varnostnik m/ž Novo mesto,/,Novo mesto,AKTIVA VAROVANJE d.d.,https://www.mojedelo.com/varnostnik-mz-novo-mesto/d-514975,"Poglavitne naloge: varovanje oseb in premoženja, nadzor nad strankami, zaposlenimi, blagovnim prometom, obhodi po varovanih območjih, varovanje javnih zbiranj…",1.2.2021,Jugovzhodna Slovenija,mojedelo.com
Varnostnik m/ž Črnomelj,/,Črnomelj,AKTIVA VAROVANJE d.d.,https://www.mojedelo.com/varnostnik-mz-crnomelj/d-514971,"Poglavitne naloge: varovanje oseb in premoženja, nadzor nad strankami, zaposlenimi, blagovnim prometom, obhodi po varovanih območjih, varovanje javnih zbiranj…",1.2.2021,Jugovzhodna Slovenija,mojedelo.com
Varnostnik m/ž Grosuplje,/,Grosuplje,AKTIVA VAROVANJE d.d.,https://www.mojedelo.com/varnostnik-mz-grosuplje/d-514979,"Poglavitne naloge: varovanje oseb in premoženja, nadzor nad strankami, zaposlenimi, blagovnim prometom, obhodi po varovanih območjih, varovanje javnih zbiranj…",1.2.2021,Jugovzhodna Slovenija,mojedelo.com
Varnostnik m/ž Krško,/,Krško,AKTIVA VAROVANJE d.d.,https://www.mojedelo.com/varnostnik-mz-krsko/d-514980,"Poglavitne naloge: varovanje oseb in premoženja, nadzor nad strankami, zaposlenimi, blagovnim prometom, obhodi po varovanih območjih, varovanje javnih zbiranj…",1.2.2021,Jugovzhodna Slovenija,mojedelo.com
Pismonoša (m/ž) v Novem mestu,/,Novo mesto,Trenkwalder d.o.o.,https://www.mojedelo.com/pismonosa-mz-v-novem-mestu/d-508819,"Imate radi gibanje in dinamiko? Pisarniško delo ni za vas? Postanite nepogrešljiv v vsakem domu!Nudimo vam stabilno zaposlitev, dobro izhodiščno plačilo in dinamično delo na terenu. ODDAJTE SVOJO PRVO POŠILJKO - prijavite se že danes!",1.2.2021,Jugovzhodna Slovenija,mojedelo.com
