Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
DELAVEC ZA PREPROSTA DELA PRI NIZKIH GRADNJAH - M/Ž,12. 03. 2021,MARIBOR,"FULTURA, KLJUČAVNIČARSTVO IN INŠTALACIJE D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2652822&RECENCY=3DAYSAGO&STATE=Podravska,OPRAVLJANJE LAŽJIH ZEMELJSKIH IN DRUGIH POMOŽNIH GRADBENIH DEL PRI NIZKIH GRADNJAH. ,10.02.2021,Podravska,iskanjedela.si
GRADBENA DELA - M/Ž,15. 02. 2021,PTUJ,"Gemagrad, gradbeništvo, trgovina in storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2652747&RECENCY=3DAYSAGO&STATE=Podravska,"pomoč pri gradbenih delih, zidanje, dovoz gramoza, opeke, pomoč pri keramičarskih delih ",10.02.2021,Podravska,iskanjedela.si
"VOZNIK C, E KATEGORIJE - M/Ž",15. 02. 2021,SLOVENSKA BISTRICA,"BOKO storitve, avtoservis, avtoprevozništvo, Boris Kodrič, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2652686&RECENCY=3DAYSAGO&STATE=Podravska,PREVOZ BLAGA V MEDNARODNEM PROMETU ,10.02.2021,Podravska,iskanjedela.si
ZIDAR - KERAMIČAR - M/Ž,20. 02. 2021,MARIBOR,KOŠAKI tovarna mesnih izdelkov d.o.o.,https://www.iskanjedela.si/search-jobs?jobId=2644862&RECENCY=3DAYSAGO&STATE=Podravska,IZVAJANJE RAZNIH ZIDARSKIH IN KERAMIČARSKIH DEL IN POPRAVIL TER VZDRŽEVALNIH DEL NA OBJEKTIH V KOŠAKI TMI MARIBOR ,10.02.2021,Podravska,iskanjedela.si
KUHAR - M/Ž,24. 02. 2021,SLOVENSKA BISTRICA,"GOSTILNA ""PRI MARTINU"", MARTIN SKRBINEK s.p.",https://www.iskanjedela.si/search-jobs?jobId=2652526&RECENCY=3DAYSAGO&STATE=Podravska,"VODJA, SESTAVLJANJE MENUJEV, KUHANJE, VODENJE SMERNIC HACCP,... ",10.02.2021,Podravska,iskanjedela.si
SKLADIŠČNIK - M/Ž,20. 02. 2021,PTUJ,"MESO IZDELKI, MARKO ŽERAK s.p.",https://www.iskanjedela.si/search-jobs?jobId=2652793&RECENCY=3DAYSAGO&STATE=Podravska,"SPREJEM IN IZDAJA BLAGA (MESA IN MESNIH IZDELKOV TER REPROMATERIALA), VODENJE MATERIALNE EVIDENCE, VODENJE SLEDLJIVOSTI, INTERNA IZDAJA BLAGA ",10.02.2021,Podravska,iskanjedela.si
PROIZVODNI DELAVEC - M/Ž,15. 02. 2021,MARIBOR,Albaugh tovarna kemičnih izdelkov d.o.o.,https://www.iskanjedela.si/search-jobs?jobId=2652895&RECENCY=3DAYSAGO&STATE=Podravska,"PRIPRAVA SUROVIN, EMBALAŽE, ETIKET IN NAVODIL, OPRAVLJANJE NOTRANJIH TRANSPORTOV, SODELOVANJE PRI FORMULACIJSKIH PROCESIH, NADZOR DELA IN UPRAVLJANJE S POLNILNO PAKIRNO LINIJO ",10.02.2021,Podravska,iskanjedela.si
TEHNOLOG III - M/Ž,15. 02. 2021,MARIBOR,KMETIJSKO GOZDARSKA ZBORNICA SLOVENIJE KMETIJSKO GOZDARSKI ZAVOD MARIBOR,https://www.iskanjedela.si/search-jobs?jobId=2652824&RECENCY=3DAYSAGO&STATE=Podravska,"SODELOVANJE PRI PRIPRAVI IN IZVAJANJU LETNEGA IN PETLETNEGA PROGRAMA CENTRA, SODELOVANJE PRI PRIPRAVI PROTOKOLOV ZA IZVEDBO POSKUSOV V SADJARSKEM CENTRU, NADZOR NAD IZVAJANJEM VSEH POTREBNIH TEHNOLOŠKIH IN POMOTEHNIČNIH UKREPOV V POSKUSNIH IN MATI...",10.02.2021,Podravska,iskanjedela.si
STROKOVNI SODELAVEC NA PROJEKTU - M/Ž,15. 02. 2021,MARIBOR,"SNAGA, družba za ravnanje z odpadki in druge komunalne storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2652681&RECENCY=3DAYSAGO&STATE=Podravska,"SPREMLJANJE IN IZVAJANJE NALOG V OKVIRU POGODBENE IN PROJEKTNE DOKUMENTACIJE, IZVAJANJA UKREPOV VEZANIH NA PROJEKTNO DELO, SPREMLJANJE STROŠKOV VEZANIH NA PROJEKTE, PREDLAGANJE IZBOLJŠAV POTEKA PROJEKTA, VODENJE, UREJANJE IN ARHIVIRANJE PROJEKTNE ...",10.02.2021,Podravska,iskanjedela.si
VOZNIK AVTOVLEKE - M/Ž,20. 02. 2021,MARIBOR,"AVTOVLEKA LUKMAN, avtovleka in druge poslovne storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2652812&RECENCY=3DAYSAGO&STATE=Podravska,"VOŽNJA VOZIL ZA AVTOVLEKO, NALAGANJE IN RAZLAGANJE OKVARJENIH IN POŠKODOVANIH VOZIL ",10.02.2021,Podravska,iskanjedela.si
KNJIGOVODJA - M/Ž,20. 02. 2021,MARIBOR,ELESPROM INŽENIRING popravila strojev in naprav d.o.o.,https://www.iskanjedela.si/search-jobs?jobId=2652779&RECENCY=3DAYSAGO&STATE=Podravska,"DELO Z SAOP PROGRAMOM, KNJIŽENJE,.. ",10.02.2021,Podravska,iskanjedela.si
OSEBNI ASISTENT III - M/Ž,18. 02. 2021,LJUBLJANA,SONČEK - ZVEZA DRUŠTEV ZA CEREBRALNO PARALIZO SLOVENIJE SO.P.,https://www.iskanjedela.si/search-jobs?jobId=2652832&RECENCY=3DAYSAGO&STATE=Podravska,"- IZVAJA VSO POTREBNO POMOČ V SKLADU S POTREBAMI IN ŽELJAMI UPORABNIKA IN SICER POMOČ ZAJEMA , VSAKODNEVNA OPRAVILA, KI JIH POSAMEZNIK ZARADI SVOJE INVALIDNOSTI NE ZMORE OPRAVLJATI SAM, - IZVAJA OSEBNO NEGO IN DRUGO OSEBNO POMOČ UPORABNIKU, - OPRA...",10.02.2021,Podravska,iskanjedela.si
SVETOVALNI DELAVEC - M/Ž,15. 02. 2021,MARIBOR,Srednja šola za trženje in dizajn Maribor,https://www.iskanjedela.si/search-jobs?jobId=2652821&RECENCY=3DAYSAGO&STATE=Podravska,SVETOVALNI DELAVEC ZA KOORDINACIJO DELA Z DIJAKI S POSEBNIMI POTREBAMI ,10.02.2021,Podravska,iskanjedela.si
KUHAR/ KUHARICA - M/Ž,18. 02. 2021,SLOVENSKA BISTRICA,VRTEC OTONA ŽUPANČIČA SLOVENSKA BISTRICA,https://www.iskanjedela.si/search-jobs?jobId=2652523&RECENCY=3DAYSAGO&STATE=Podravska,"ORGANIZIRA IN IZVAJA DNEVNO KOMPLETNO PRIPRAVO IN PORCIONIRANJE TOPLIH, HLADNIH IN DIETNIH OBROKOV ZA VRTEC, NA PODLAGI STROKOVNIH ZAHTEV IN NAVODIL, VODI EVIDENCO O DNEVNO PORABLJENIH SUROVINAH, IZDANIH OBROKIH, ZALOGAH, SVETUJE IN POSREDUJE NAVO...",10.02.2021,Podravska,iskanjedela.si
VZDRŽEVALEC CEST I. - M/Ž,20. 02. 2021,SLOVENSKA BISTRICA,KOMUNALA SLOVENSKA BISTRICA PODJETJE ZA KOMUNALNE IN DRUGE STORITVE D.O.O.,https://www.iskanjedela.si/search-jobs?jobId=2652818&RECENCY=3DAYSAGO&STATE=Podravska,"OPRAVLJANJE VZDRŽEVALNIH DEL REDNEGA LETNEGA IN ZIMSKEGA VZDRŽEVANJA CEST IN PLOČNIKOV, KRPANJE VOZIŠČ, ČIŠČENJE VOZIŠČ, PREPUSTOV, JARKOV, KORITNIC, MULD, JAŠKOV, PLESKANJE VOZIŠČ, ZIDANJE IN BETONIRANJE CESTNIH OBJEKTOV, IZVEDBA DEL VERTIKALNE I...",10.02.2021,Podravska,iskanjedela.si
TEHNIK KONTROLOR VOZIL - M/Ž,25. 02. 2021,MARIBOR,"A-MB, TRGOVINA IN STORITVE, D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2652838&RECENCY=3DAYSAGO&STATE=Podravska,IZVAJANJE TEHNIČNIH PREGLEDOV VOZIL IN KONTROL TAHOGRAFOV ,10.02.2021,Podravska,iskanjedela.si
ELEKTRIČAR ZA DELO NA TERENU - M/Ž,02. 03. 2021,PTUJ,"LVS Group, elektromontaža in storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2652899&RECENCY=3DAYSAGO&STATE=Podravska,MONTAŽA ELEKTRIČNIH NAPELJAV IN NAPRAV. DELO NA TERENU V NEMČIJI. ,10.02.2021,Podravska,iskanjedela.si
UČITELJ-RAZREDNIK - M/Ž,15. 02. 2021,MARIBOR,OSNOVNA ŠOLA GUSTAVA ŠILIHA MARIBOR,https://www.iskanjedela.si/search-jobs?jobId=2652739&RECENCY=3DAYSAGO&STATE=Podravska,"NEPOSREDNO IZVAJA VZGOJNO IZOBRAŽEVALNO DELO KOT UČITELJ RAZREDNEGA POUKA (PROFESOR DEFEKTOLOGIJE OZ. MAGISTER PROFESOR SPECIALNE IN REHABILITACIJSKE PEDAGOGIKE). OPRAVLJA DELA IN NALOGE DOLOČENE S PREDPISI, LETNIM DELOVNIM NAČRTOM ZAVODA TER V SK...",10.02.2021,Podravska,iskanjedela.si
VODJA TEHNIČNIH PREGLEDOV MOTORNIH VOZIL - M/Ž,25. 02. 2021,MARIBOR,"A-MB, TRGOVINA IN STORITVE, D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2652543&RECENCY=3DAYSAGO&STATE=Podravska,"VODENJE IN ORGANIZIRANJE IZVAJANJA TEHNIČNIH PREGLEDOV, SPREMLJANJE ZAKONODAJE IN STANDARDOV, IZVAJANJE TEHNIČNIH PREGLEDOV IPD. ",10.02.2021,Podravska,iskanjedela.si
PRODAJALEC NA BENCINSKEM SERVISU MARIBOR VZHOD - M/Ž,18. 02. 2021,MARIBOR,"AL COM, Aleš Anderlič s.p., posredništvo pri prodaji",https://www.iskanjedela.si/search-jobs?jobId=2652538&RECENCY=3DAYSAGO&STATE=Podravska,"PRODAJA BLAGA IN GORIV, PROMOCIJA MM GORIV, PREVZEM BLAGA, PREVZEM GORIV, DELO NA BLAGAJNI, ZAKLJUČEVANJE BLAGAJNE - OBRAČUNI, INVENTURE TRGOVSKEGA BLAGA. ",10.02.2021,Podravska,iskanjedela.si
J037003 - TEHNIŠKI SODELAVEC VII/1 V INŠTITUTU ZA AVTOMATIKO - M/Ž,15. 02. 2021,MARIBOR,UM; UM FERI,https://www.iskanjedela.si/search-jobs?jobId=2652897&RECENCY=3DAYSAGO&STATE=Podravska,"PRIPRAVLJANJE MATERIALOV IN NAPRAV ZA IZVEDBO VAJ IN RAZISKOVALNIH NALOG. IZVAJANJE MERITEV IN TESTIRANJ, ZBIRANJE IN UREJANJE LITERATURE TER PERIODIKE. GRAFIČNO OBLIKOVANJE, OPRAVLJANJE RAČUNALNIŠKIH OBDELAV, ANKETIRANJE IN ZBIRANJE PODATKOV. SOD...",10.02.2021,Podravska,iskanjedela.si
KUHAR - M/Ž,18. 02. 2021,MARIBOR,"FIDEBO, vzdrževanje, montaža, popravila strojev in naprav ter druge storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2652531&RECENCY=3DAYSAGO&STATE=Podravska,DELO S HITRO PREHRANO ,10.02.2021,Podravska,iskanjedela.si
DISPONENT - PROMETNIK - ORGANIZATOR TRANSPORTA - M/Ž,15. 02. 2021,PTUJ,KO-TRANS PREVOZNO IN TRGOVSKO PODJETJE D.O.O.,https://www.iskanjedela.si/search-jobs?jobId=2652604&RECENCY=3DAYSAGO&STATE=Podravska,"UREJANJE PREVOZOV V DOMAČEM IN MEDNARODNEM PROMETU; DELO SAMOSTOJNEGA KOMERCIALISTA, POSREDOVANJE IN PRODAJA POSAMEZNIH PREVOZOV, NAKLADOV... ORGANIZACIJA NAVADNIH IN IZREDNIH ADR PREVOZOV, SPREMLJANJE TOVORA (USKLAJEVANJE TERMINOV NAKLADANJA IN R...",10.02.2021,Podravska,iskanjedela.si
KROVSKA DELA NA TERENU - M/Ž,17. 02. 2021,RUŠE,"TRGOVINA, PROIZVODNJA IN GRADBENE STORITVE, DAVORIN KUKOVEC S.P.",https://www.iskanjedela.si/search-jobs?jobId=2652544&RECENCY=3DAYSAGO&STATE=Podravska,KROVSKA DELA NA TERENU ,10.02.2021,Podravska,iskanjedela.si
STROJNIK GRADBENE MEHANIZACIJE - BAGERIST - M/Ž,20. 05. 2021,PTUJ,"VRTNARSTVO IN HORTIKULTURA, FRANC HORVAT s.p.",https://www.iskanjedela.si/search-jobs?jobId=2652759&RECENCY=3DAYSAGO&STATE=Podravska,strojnik gradbene mehanizacije za urejanje okolja ,10.02.2021,Podravska,iskanjedela.si
SOCIALNI DELAVEC - PRIPRAVNIK (F017010) - M/Ž,15. 02. 2021,SLOVENSKA BISTRICA,DOM DR. JOŽETA POTRČA POLJČANE,https://www.iskanjedela.si/search-jobs?jobId=2652679&RECENCY=3DAYSAGO&STATE=Podravska,"USPOSABLJANJE ZA SAMOSTOJNO OPRAVLJANJE NALOG: IZVAJANJA UVAJALNIH IN INFORMATIVNIH STIKOV PRED SPREJEMOM STANOVALCA, SPREJEM VLOG; PRIPRAVO ZA ODLOČANJE; PRIPRAVO ODLOČB; OBISKOV NA DOMU STAROSTNIKA PRED SPREJEMOM V DOM; SPREJEMANJA NOVEGA STANOV...",10.02.2021,Podravska,iskanjedela.si
VOZNIK KAMIONA - M/Ž,12. 03. 2021,LENART,TOMANA-TRGOVINA IN STORITVE KOCMUT ANTON S.P.,https://www.iskanjedela.si/search-jobs?jobId=2652547&RECENCY=3DAYSAGO&STATE=Podravska,VOZNIK KAMIONA - SCHUBODEN AVSTRIJA - ITALIJA. ,10.02.2021,Podravska,iskanjedela.si
DIPLOMIRANA MEDICINSKA SESTRA V SPECIALISTIČNI AMBULANTI - M/Ž,15. 02. 2021,MARIBOR,UNIVERZITETNI KLINIČNI CENTER MARIBOR,https://www.iskanjedela.si/search-jobs?jobId=2652815&RECENCY=3DAYSAGO&STATE=Podravska,"NAROČANJE PACIENTOV IN VODENJE ČAKALNIH VRST ZA SPECIALISTIČNO AMBULANTNO OBRAVNAVO PACIENTOV, - SODELOVANJE PRI SPREJEMU PACIENTA, PRIPRAVLJANJE IN UREJANJE PACIENTOVE DOKUMENTACIJE IN PO NAVODILU USMERJANJE PACIENTOV V NADALJNJO OBRAVNAVO, - IZV...",10.02.2021,Podravska,iskanjedela.si
VARILEC MIG - M/Ž,17. 02. 2021,PTUJ,"ISM VUZEM INŽENIRING, STORITVE, MONTAŽA D.O.O.",https://www.iskanjedela.si/search-jobs?jobId=2652901&RECENCY=3DAYSAGO&STATE=Podravska,"VARILSKO DELO, POSTOPEK MIG (135, 141). ",10.02.2021,Podravska,iskanjedela.si
