Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Mehatronik - elektronik (m/ž),05.03.2021,Kranj,"TRGOVINA IN PREVOZI, SNEDIC PRIMOŽ S.P.",https://www.deloglasnik.si/Zaposlitev/279378/Mehatronik-elektronik-mz/,"  Popravilo in servis lahkih dostavnih vozil, diagnostika, ugotovitev napak.",03.02.2021,Gorenjska,deloglasnik.si
Pomočnik v proizvodnji pri obdelavi kovin (m/ž),25.02.2021,Kranj,"PETAL PEČNIK, proizvodnja in prodaja kovinskih izdelkov, d.o.o.",https://www.deloglasnik.si/Zaposlitev/279008/Pomocnik-v-proizvodnji-pri-obdelavi-kovin-mz/,"  Priprava izdelkov na barvanje kar zajema brušenje, zaščito navojev in razgibavanje kosov.",26.01.2021,Gorenjska,deloglasnik.si
Revirni gozdar (m/ž),23.02.2021,Postojna,Zavod za gozdove Slovenije,https://www.deloglasnik.si/Zaposlitev/279843/Revirni-gozdar-mz/,"  - izdelovanje gozdnogojitvenih načrtov - izbiranje drevja za posek - določanje in prevzemanje gojitvenih in varstvenih del ter vodenje upravnih postopkov v tej zvezi - sodelovanje z lastniki gozdov in drugimi, trasiranje vlak, vzdrževanje mej, u...",15.02.2021,Primorsko-notranjska,deloglasnik.si
Operater na CNC in laser stroju (m/ž),05.03.2021,Cerknica,"TTN nadgradnje, kovinske konstrukcije in laserski razrez pločevine d.o.o.",https://www.deloglasnik.si/Zaposlitev/279431/Operater-na-CNC-in-laser-stroju-mz/,"  - programiranje in upravljanje CNC stroja in laserskega rezalnika - priprava in transport materiala ročno, z dvigalom ali viličarjem - skrb za pravilno uporabo stroja, plinov in druge energije - odgovornost za pravilno posluževanje in vzdrževanj...",03.02.2021,Primorsko-notranjska,deloglasnik.si
Obdelovalec kovin / ključavničar (m/ž),05.03.2021,Cerknica,"TTN nadgradnje, kovinske konstrukcije in laserski razrez pločevine d.o.o.",https://www.deloglasnik.si/Zaposlitev/279432/Obdelovalec-kovin-kljucavnicar-mz/,"  - priprava in transport materiala ročno, z dvigalom ali viličarjem - strojna in ročna obdelava materiala (brušenje, vrtanje, rezanje, krivljenje, varjenje, peskanje) - izdelava raznih šablon in montažnih priprav - samostojna izdelava, dodelava i...",03.02.2021,Primorsko-notranjska,deloglasnik.si
Elektrikar - merilec specialist (m/ž),20.02.2021,Postojna,Kompozit Emra d.o.o.,https://www.deloglasnik.si/Zaposlitev/278869/Elektrikar-merilec-specialist-mz/,"  - vezava razdelilcev, električnih omar in sklopov - izvajanje meritev, parametriranje merilno regulacijske opreme - izvajanje posegov in revizij na SN električnih napravah - montaža in servisiranje merilno regulacijske opreme - izdelava in sesta...",22.01.2021,Primorsko-notranjska,deloglasnik.si
Skladiščnik / Viličarist (m/ž),06.03.2021,Postojna,KOROTAJ d.o.o.,https://www.deloglasnik.si/Zaposlitev/279526/Skladiscnik-Vilicarist-mz/,"  Za našega naročnika iščemo osebo za zasedbo dinamičnega delovnega mesta skladiščnik / viličarist (m/ž). Temeljna dejavnost podjetja je razvoj, proizvodnja in trženje izdelkov iz termoplastov. Omenjeno dejavnost družba uresničuje s programom sani...",04.02.2021,Primorsko-notranjska,deloglasnik.si
Delavec za nastavljanje in upravljanje avtomatske linije (m/ž),19.02.2021,Postojna,WORKFORCE d.o.o.,https://www.deloglasnik.si/Zaposlitev/279557/Delavec-za-nastavljanje-in-upravljanje-avtomatske-linije-mz/,"  Uspešno podjetje, ki je s svojimi izdelki prisotno v več kot 20 državah, išče osebo za zasedbo prostega delovnega mesta:   Delavec za nastavljanje in upravljanje avtomatske linije (m/ž).  Vaše delo bo obsegalo: - nastavljanje strojev - upravljan...",09.02.2021,Primorsko-notranjska,deloglasnik.si
Delavec v proizvodnji (m/ž),28.02.2021,Postojna,"""TEHNOPLAST"", ANTON KREBELJ S.P.",https://www.deloglasnik.si/Zaposlitev/279206/Delavec-v-proizvodnji-mz/,"  - upravljanje in nastavljanje strojev za brizganje plastike ter periferne opreme (temperirne naprave, sušilci ipd.) - planiranje proizvodnje, izmen, skladiščenja materiala in zalog, kontrola izdelkov - menjava orodij za brizganje plastike - urej...",29.01.2021,Primorsko-notranjska,deloglasnik.si
Regionalni vodja prodaje (m/ž),20.02.2021,"Notranjsko-kraška, Obalna, Osrednjeslovenska",Fridro d.o.o.,https://www.deloglasnik.si/Zaposlitev/278802/Regionalni-vodja-prodaje-mz/,  - skrb za obstoječe stranke in iskanje novih - seznanjanje strank z novostmi ter svetovanje pri iskanju najustreznejših tehničnih rešitev - odgovornost za doseganje prodajnega plana - priprava ponudb in tehničnih rešitev,21.01.2021,Primorsko-notranjska,deloglasnik.si
Sistemski administrator (m/ž),06.03.2021,Postojna,"RUBIKON, INFORMACIJSKI INŽENIRING, D.O.O.",https://www.deloglasnik.si/Zaposlitev/279494/Sistemski-administrator-mz/,"  Delo na vzdrževanju informacijskih sistemov naročnikov, mrežne komunikacijske infrastrukture, varnostnih rešitev.",04.02.2021,Primorsko-notranjska,deloglasnik.si
Kovinar - orodjar (m/ž),27.02.2021,Cerknica,"K in K KOV, proizvodnja kovinskih izdelkov d.o.o.",https://www.deloglasnik.si/Zaposlitev/279139/Kovinar-orodjar-mz/,"  Razrez materiala, varjenje, brušenje.",28.01.2021,Primorsko-notranjska,deloglasnik.si
Obdelovalec kovin / CNC operater (m/ž),20.02.2021,Postojna,SiTOR stiskalnice d.o.o.,https://www.deloglasnik.si/Zaposlitev/279830/Obdelovalec-kovin-CNC-operater-mz/,"  V našo ekipo vabimo obdelovalca kovin / cnc operaterja (m/ž).  Opis del in nalog: - zahtevno dela rezanja, struženja, rezkanja, skobljanja, vrtanja, varjenja - menjava in nastavitev orodja - zahtevna vzdrževalna, izdelovalna in montažna dela - p...",15.02.2021,Primorsko-notranjska,deloglasnik.si
Kuhar (m/ž),03.03.2021,Postojna,"VITUM, gostinske in turistične storitve, d.o.o.",https://www.deloglasnik.si/Zaposlitev/279370/Kuhar-mz/,"  - samostojno kuhanje malic, kosil, Ala carte menijev, sladic - priprava surovin - vodenje evidenc, zalog, čiščenje opreme, delovnih površin - izvajanje HACCP zahtev",03.02.2021,Primorsko-notranjska,deloglasnik.si
Trener konjev (m/ž),03.03.2021,Postojna,"VITUM, gostinske in turistične storitve, d.o.o.",https://www.deloglasnik.si/Zaposlitev/279369/Trener-konjev-mz/,"  - oskrbnik in negovalec živali - konjev - vodenje, urjenje in negovanje konjev - zbiranje in beleženje podatkov živali - urjenje konj za razvoj, rejo - poslušnost, jahanje",03.02.2021,Primorsko-notranjska,deloglasnik.si
Hlevar (m/ž),03.03.2021,Postojna,"VITUM, gostinske in turistične storitve, d.o.o.",https://www.deloglasnik.si/Zaposlitev/279368/Hlevar-mz/,  Delo v hlevu in ostala pomožna dela na posestvu.,03.02.2021,Primorsko-notranjska,deloglasnik.si
Inštruktor jahanja (m/ž),03.03.2021,Postojna,"VITUM, gostinske in turistične storitve, d.o.o.",https://www.deloglasnik.si/Zaposlitev/279367/Instruktor-jahanja-mz/,  Učenje in izvajanje jahanja.,03.02.2021,Primorsko-notranjska,deloglasnik.si
Natakar (m/ž),03.03.2021,Postojna,"VITUM, gostinske in turistične storitve, d.o.o.",https://www.deloglasnik.si/Zaposlitev/279366/Natakar-mz/,"  - priprava in strežba pijač, toplih napitkov, strežba hrane - priprava pogrinjkov - čiščenje miz, delovnih površin - skrb za urejeno delavno okolje - izvajanje HACCP zahtev",03.02.2021,Primorsko-notranjska,deloglasnik.si
Delavec za nastavljanje in upravljanje avtomatske linije (m/ž),26.02.2021,Postojna,"LIV SYSTEMS, proizvodnja, predelava in trgovina, d.o.o.",https://www.deloglasnik.si/Zaposlitev/279051/Delavec-za-nastavljanje-in-upravljanje-avtomatske-linije-mz/,  Nastavljanje in upravljanje avtomatske stiskalnice.,27.01.2021,Primorsko-notranjska,deloglasnik.si
Elektromonter (m/ž),23.02.2021,"Ljubljana, Logatec, Žiri, Cerknica, Domžale, Ivančna Gorica, Trbovlje, Kočevje","ELEKTRO LJUBLJANA, PODJETJE ZA DISTRIBUCIJO ELEKTRIČNE ENERGIJE, D.D.",https://www.deloglasnik.si/Zaposlitev/279825/Elektromonter-mz/,  Družba Elektro Ljubljana d.d. objavlja javni razpis za 9 prostih delovnih mestih:  Elektromonter (m/ž).  Vaše naloge bodo:  - opravljanje elektromonterskih del - opravljanje izterjav pri neplačnikih - vodenje evidenc - urejanje delovnega okolja ...,15.02.2021,Primorsko-notranjska,deloglasnik.si
Računovodja (m/ž),19.03.2021,Cerknica,Espada d.o.o.,https://www.deloglasnik.si/Zaposlitev/279965/Racunovodja-mz/,"  - izvajanje in nadzor knjiženja poslovnih dogodkov v poslovno knjigo družbe - izvajanje in kontrola plačilnega prometa - skrb in odgovornost za glavno knjigo, računovodske izkaze in njihovo arhiviranje - izdelava računovodskih poročil družbe za ...",17.02.2021,Primorsko-notranjska,deloglasnik.si
Voznik tovornega vozila v notranjem prometu (m/ž),17.03.2021,Postojna,AVTOPREVOZNIŠTVO PIVK ROBERT S.P.,https://www.deloglasnik.si/Zaposlitev/279822/Voznik-tovornega-vozila-v-notranjem-prometu-mz/,"  Vožnja, nakladanje ter razkladanje blaga.",15.02.2021,Primorsko-notranjska,deloglasnik.si
Vodja proizvodnje v kmetijstvu (m/ž),05.03.2021,Postojna,"ANGUS, KMETIJSTVO IN STORITVE, D.O.O.",https://www.deloglasnik.si/Zaposlitev/279510/Vodja-proizvodnje-v-kmetijstvu-mz/,"  - organizacija, vodenje in razporeditev delavcev in dela - priprava tedenskega, mesečnega in letnega plana dela - kontrola, pregled in sprejem vhodnih/izhodnih surovin",04.02.2021,Primorsko-notranjska,deloglasnik.si
Molzač (m/ž),05.03.2021,Postojna,"ANGUS, KMETIJSTVO IN STORITVE, D.O.O.",https://www.deloglasnik.si/Zaposlitev/279364/Molzac-mz/,  - molža krav - skrb za teličke - čistoča molznega stroja in oprema - skrb za čistočo molzišča,03.02.2021,Primorsko-notranjska,deloglasnik.si
Traktorist (m/ž),05.03.2021,Postojna,"ANGUS, KMETIJSTVO IN STORITVE, D.O.O.",https://www.deloglasnik.si/Zaposlitev/279363/Traktorist-mz/,  - prevoz različnega blaga in delo s traktorjem in traktorskimi priključki - razna kmečka opravila,03.02.2021,Primorsko-notranjska,deloglasnik.si
Tehnolog na farmi (m/ž),05.03.2021,Postojna,"ANGUS, KMETIJSTVO IN STORITVE, D.O.O.",https://www.deloglasnik.si/Zaposlitev/279362/Tehnolog-na-farmi-mz/,"  - organizacija, vodenje in razporeditev delavcev in dela - priprava tedenskega, mesečnega in letnega plana dela - kontrola, pregled in sprejem vhodnih/izhodnih surovin",03.02.2021,Primorsko-notranjska,deloglasnik.si
CNC Operater (m/ž),25.02.2021,Postojna,Orodjarstvo Požar d.o.o.,https://www.deloglasnik.si/Zaposlitev/278997/CNC-Operater-mz/,  Objavljamo prosto delovno mesto operaterja/ko na CNC obdelovalnih centrih.,26.01.2021,Primorsko-notranjska,deloglasnik.si
Operater CNC strojev (m/ž),18.03.2021,"Godovič, Idrija","Atama agencija za zaposlovanje, d.o.o.",https://www.deloglasnik.si/Zaposlitev/280053/Operater-CNC-strojev-mz/,"  Poglavitna dejavnost delodajalca je mehanična obdelava kovin na CNC stružnicah in obdelovalnem centru za potrebe domačega in tujega trga. Gre za manjše, hitro rastoče podjetje, ki se bo v januarju preselilo v popolnoma novo proizvodnjo v okolici...",19.02.2021,Goriška,deloglasnik.si
Inženir strojništva (m/ž),01.03.2021,Nova Gorica,SIES Napredne rešitve d.o.o.,https://www.deloglasnik.si/Zaposlitev/279967/Inzenir-strojnistva-mz/,"  - operativno vodenje prodaje, raziskava trga, načrtovanje prodaje  - vodenje evidenc, izdelovanje analiz in priprava poročil  - sklepanje pogodb, naročanje blaga, kontrola nabave in vodenje nabavnih ter prodajnih evidenc  - vodenje projektov in/...",17.02.2021,Goriška,deloglasnik.si
